"word","word_acc","stress_pattern","closure_pattern","closure","ending_st"
"редки","ре'дки","10","10","fem","е'дки"
"говорливы","говорли'вы","0010","10","fem","и'вы"
"утешая","утеша'я","0010","10","fem","а'я"
"несправедливы","несправедли'вы","00010","10","fem","и'вы"
"благодарим","благодари'м","0001","1","masc","и'м"
"прибавлений","прибавле'ний","0010","10","fem","е'ний"
"мнимый","мни'мый","10","10","fem","и'мый"
"раскинет","раски'нет","010","10","fem","и'нет"
"потеря","поте'ря","010","10","fem","е'ря"
"молчанью","молча'нью","010","10","fem","а'нью"
"кредиторов","кредито'ров","0010","10","fem","о'ров"
"уплат","упла'т","01","1","masc","а'т"
"терпите","терпи'те","010","10","fem","и'те"
"несомненно","несомне'нно","0010","10","fem","е'нно"
"повздорит","повздо'рит","010","10","fem","о'рит"
"нуждой","нуждо'й","01","1","masc","о'й"
"благороден","благоро'ден","0010","10","fem","о'ден"
"прихожей","прихо'жей","010","10","fem","о'жей"
"чиновных","чино'вных","010","10","fem","о'вных"
"щегольком","щеголько'м","001","1","masc","о'м"
"благородстве","благоро'дстве","0010","10","fem","о'дстве"
"отдачей","отда'чей","010","10","fem","а'чей"
"поболе","побо'ле","010","10","fem","о'ле"
"разменяем","разменя'ем","0010","10","fem","я'ем"
"рубля","рубля'","01","1","masc","ля'"
"проценты","проце'нты","010","10","fem","е'нты"
"философски","филосо'фски","0010","10","fem","о'фски"
"бесславно","бессла'вно","010","10","fem","а'вно"
"поверьте","пове'рьте","010","10","fem","е'рьте"
"отличный","отли'чный","010","10","fem","и'чный"
"оживала","ожива'ла","0010","10","fem","а'ла"
"устраняся","устраня'ся","0010","10","fem","я'ся"
"засела","засе'ла","010","10","fem","е'ла"
"косить","коси'ть","01","1","masc","и'ть"
"прохлажденье","прохлажде'нье","0010","10","fem","е'нье"
"лужков","лужко'в","01","1","masc","о'в"
"цуком","цу'ком","10","10","fem","у'ком"
"ком","ко'м","1","1","masc","о'м"
"ухватка","ухва'тка","010","10","fem","а'тка"
"рожью","ро'жью","10","10","fem","о'жью"
"овсом","овсо'м","01","1","masc","о'м"
"крупнее","крупне'е","010","10","fem","е'е"
"цветкам","цветка'м","01","1","masc","а'м"
"сносна","сно'сна","10","10","fem","о'сна"
"сельце","сельце'","01","1","masc","це'"
"именьи","и'меньи","100","100","dactylic","и'меньи"
"посвященным","посвящё'нным","001'0","001'0","other","ё'нным"
"смотренью","смотре'нью","010","10","fem","е'нью"
"презря","презря'","01","1","masc","ря'"
"ласкаюсь","ласка'юсь","010","10","fem","а'юсь"
"зиму","зи'му","10","10","fem","и'му"
"разголубишь","разголу'бишь","0010","10","fem","у'бишь"
"тревожь","трево'жь","01","1","masc","о'жь"
"селяне","селя'не","010","10","fem","я'не"
"бременя","бременя'","001","1","masc","ня'"
"крошится","кро'шится","100","100","dactylic","о'шится"
"неименной","не'именной","1000","1000","other","е'именной"
"ободрена","ободрена'","0001","1","masc","на'"
"сочтя","сочтя'","01","1","masc","тя'"
"влечь","вле'чь","1","1","masc","е'чь"
"отцах","отца'х","01","1","masc","а'х"
"баян","бая'н","01","1","masc","я'н"
"запевает","запева'ет","0010","10","fem","а'ет"
"бросаем","броса'ем","010","10","fem","а'ем"
"поисправить","поисправи'ть","0001","1","masc","и'ть"
"соглашусь","соглашу'сь","001","1","masc","у'сь"
"беззаботно","беззабо'тно","0010","10","fem","о'тно"
"воспевали","воспева'ли","0010","10","fem","а'ли"
"ружье","ружьё'","01","1","masc","ьё'"
"собачеи","собаче'и","0010","10","fem","е'и"
"храбрятся","храбря'тся","010","10","fem","я'тся"
"гарцевали","гарцева'ли","0010","10","fem","а'ли"
"звериный","звери'ный","010","10","fem","и'ный"
"взлез","взле'з","1","1","masc","е'з"
"кистями","кистя'ми","010","10","fem","я'ми"
"обвивал","обвива'л","001","1","masc","а'л"
"ухитрился","ухитри'лся","0010","10","fem","и'лся"
"винограду","виногра'ду","0010","10","fem","а'ду"
"вверить","вве'рить","10","10","fem","е'рить"
"тяжелой","тяжё'лой","01'0","01'0","other","ё'лой"
"зреешь","зре'ешь","10","10","fem","е'ешь"
"биющих","бию'щих","010","10","fem","ю'щих"
"доверяет","доверя'ет","0010","10","fem","я'ет"
"веля","веля'","01","1","masc","ля'"
"боимся","бои'мся","010","10","fem","и'мся"
"сплести","сплести'","01","1","masc","ти'"
"собрегался","собрега'лся","0010","10","fem","а'лся"
"свежее","све'жее","100","100","dactylic","е'жее"
"полиона","полио'на","0010","10","fem","о'на"
"блески","бле'ски","10","10","fem","е'ски"
"лазурью","лазу'рью","010","10","fem","у'рью"
"шелковых","ше'лковых","100","100","dactylic","е'лковых"
"осквернели","оскверне'ли","0010","10","fem","е'ли"
"нетерпеливей","нетерпели'вей","00010","10","fem","и'вей"
"леила","леи'ла","010","10","fem","и'ла"
"устроен","устро'ен","010","10","fem","о'ен"
"предызбран","предызбра'н","001","1","masc","а'н"
"лирных","ли'рных","10","10","fem","и'рных"
"мятут","мя'тут","10","10","fem","я'тут"
"минутся","ми'нутся","100","100","dactylic","и'нутся"
"краи","кра'и","10","10","fem","а'и"
"пчелу","пчелу'","01","1","masc","лу'"
"сластями","сластя'ми","010","10","fem","я'ми"
"полезны","поле'зны","010","10","fem","е'зны"
"уснет","уснё'т","01'","01'","other","ё'т"
"совьются","совью'тся","010","10","fem","ю'тся"
"слетают","слета'ют","010","10","fem","а'ют"
"кропотливой","кропотли'вой","0010","10","fem","и'вой"
"старуху","стару'ху","010","10","fem","у'ху"
"опоздала","опозда'ла","0010","10","fem","а'ла"
"жмутся","жму'тся","10","10","fem","у'тся"
"ворчали","ворча'ли","010","10","fem","а'ли"
"барабане","бараба'не","0010","10","fem","а'не"
"давит","да'вит","10","10","fem","а'вит"
"существом","существо'м","001","1","masc","о'м"
"убегая","убега'я","0010","10","fem","а'я"
"крутых","круты'х","01","1","masc","ы'х"
"закован","зако'ван","010","10","fem","о'ван"
"забывался","забыва'лся","0010","10","fem","а'лся"
"тароваты","тарова'ты","0010","10","fem","а'ты"
"пеняй","пеня'й","01","1","masc","я'й"
"урочный","уро'чный","010","10","fem","о'чный"
"мольба","мольба'","01","1","masc","ба'"
"отражать","отража'ть","001","1","masc","а'ть"
"злачну","зла'чну","10","10","fem","а'чну"
"краснощоки","краснощо'ки","0010","10","fem","о'ки"
"божков","божко'в","01","1","masc","о'в"
"яве","я'ве","10","10","fem","я'ве"
"таит","таи'т","01","1","masc","и'т"
"исчезаю","исчеза'ю","0010","10","fem","а'ю"
"разнозвучный","разнозву'чный","0010","10","fem","у'чный"
"тризны","три'зны","10","10","fem","и'зны"
"воск","во'ск","1","1","masc","о'ск"
"горнил","горни'л","01","1","masc","и'л"
"плуга","плу'га","10","10","fem","у'га"
"стремянный","стремя'нный","010","10","fem","я'нный"
"изгиба","изги'ба","010","10","fem","и'ба"
"трезвонит","трезво'нит","010","10","fem","о'нит"
"иоаннов","иоа'ннов","0010","10","fem","а'ннов"
"вонзает","вонза'ет","010","10","fem","а'ет"
"обильных","оби'льных","010","10","fem","и'льных"
"бесценок","бесце'нок","010","10","fem","е'нок"
"крылах","крыла'х","01","1","masc","а'х"
"возвился","возви'лся","010","10","fem","и'лся"
"млею","мле'ю","10","10","fem","е'ю"
"принудит","прину'дит","010","10","fem","у'дит"
"вострубить","воструби'ть","001","1","masc","и'ть"
"гонимых","гони'мых","010","10","fem","и'мых"
"напротив","напро'тив","010","10","fem","о'тив"
"вдов","вдо'в","1","1","masc","о'в"
"боясь","боя'сь","01","1","masc","я'сь"
"превращать","превраща'ть","001","1","masc","а'ть"
"имущих","иму'щих","010","10","fem","у'щих"
"винить","вини'ть","01","1","masc","и'ть"
"защитите","защити'те","0010","10","fem","и'те"
"продолжить","продо'лжить","010","10","fem","о'лжить"
"поклоненья","поклоне'нья","0010","10","fem","е'нья"
"отопритесь","отопри'тесь","0010","10","fem","и'тесь"
"судящих","су'дящих","100","100","dactylic","у'дящих"
"торговала","торгова'ла","0010","10","fem","а'ла"
"окружися","окру'жися","0100","100","dactylic","у'жися"
"наказав","наказа'в","001","1","masc","а'в"
"расставаньи","расстава'ньи","0010","10","fem","а'ньи"
"старинных","стари'нных","010","10","fem","и'нных"
"покоряла","покоря'ла","0010","10","fem","я'ла"
"читайте","чита'йте","010","10","fem","а'йте"
"льстивой","льсти'вой","10","10","fem","и'вой"
"речном","речно'м","01","1","masc","о'м"
"посвист","по'свист","10","10","fem","о'свист"
"отпеть","отпе'ть","01","1","masc","е'ть"
"воюешь","вою'ешь","010","10","fem","ю'ешь"
"смеренной","сме'ренной","100","100","dactylic","е'ренной"
"страшиться","страши'ться","010","10","fem","и'ться"
"уходил","уходи'л","001","1","masc","и'л"
"щебетанья","щебета'нья","0010","10","fem","а'нья"
"разливая","разлива'я","0010","10","fem","а'я"
"единства","еди'нства","010","10","fem","и'нства"
"получал","получа'л","001","1","masc","а'л"
"лизеточке","лизе'точке","0100","100","dactylic","е'точке"
"подшивать","подшива'ть","001","1","masc","а'ть"
"головомытия","головомы'тия","000100","100","dactylic","ы'тия"
"учинять","учиня'ть","001","1","masc","я'ть"
"столоначальнику","столонача'льнику","000100","100","dactylic","а'льнику"
"нагоняй","нагоня'й","001","1","masc","я'й"
"вано","вано'","01","1","masc","но'"
"затруднения","затрудне'ния","00100","100","dactylic","е'ния"
"пергамента","перга'мента","0100","100","dactylic","а'мента"
"завезет","завезё'т","001'","001'","other","ё'т"
"представления","представле'ния","00100","100","dactylic","е'ния"
"норковый","но'рковый","100","100","dactylic","о'рковый"
"квартальница","кварта'льница","0100","100","dactylic","а'льница"
"пас","па'с","1","1","masc","а'с"
"странном","стра'нном","10","10","fem","а'нном"
"поражена","поражена'","0001","1","masc","на'"
"перенести","перенести'","0001","1","masc","ти'"
"растравлена","растра'влена","0100","100","dactylic","а'влена"
"пустынным","пусты'нным","010","10","fem","ы'нным"
"скалу","ска'лу","10","10","fem","а'лу"
"пииты","пии'ты","010","10","fem","и'ты"
"кланяться","кла'няться","100","100","dactylic","а'няться"
"пользительно","пользи'тельно","0100","100","dactylic","и'тельно"
"задариным","зада'риным","0100","100","dactylic","а'риным"
"любезнейший","любе'знейший","0100","100","dactylic","е'знейший"
"презирай","презира'й","001","1","masc","а'й"
"покорнее","поко'рнее","0100","100","dactylic","о'рнее"
"деньжонками","деньжо'нками","0100","100","dactylic","о'нками"
"полковника","полко'вника","0100","100","dactylic","о'вника"
"личностью","ли'чностью","100","100","dactylic","и'чностью"
"цыпочка","цы'почка","100","100","dactylic","ы'почка"
"расцветают","расцвета'ют","0010","10","fem","а'ют"
"отдохни","отдохни'","001","1","masc","ни'"
"уповай","упова'й","001","1","masc","а'й"
"уломать","улома'ть","001","1","masc","а'ть"
"важно","ва'жно","10","10","fem","а'жно"
"божусь","божу'сь","01","1","masc","у'сь"
"невелички","невели'чки","0010","10","fem","и'чки"
"дружку","дружку'","01","1","masc","ку'"
"пожалеть","пожале'ть","001","1","masc","е'ть"
"возвела","возвела'","001","1","masc","ла'"
"закружил","закружи'л","001","1","masc","и'л"
"облобызал","облобыза'л","0001","1","masc","а'л"
"предалась","предала'сь","001","1","masc","а'сь"
"умирала","умира'ла","0010","10","fem","а'ла"
"давленьем","давле'ньем","010","10","fem","е'ньем"
"разлагает","разлага'ет","0010","10","fem","а'ет"
"бубновый","бубно'вый","010","10","fem","о'вый"
"целку","це'лку","10","10","fem","е'лку"
"мыть","мы'ть","1","1","masc","ы'ть"
"прыжками","прыжка'ми","010","10","fem","а'ми"
"субботы","суббо'ты","010","10","fem","о'ты"
"поцалуй","поцалу'й","001","1","masc","у'й"
"обидишь","оби'дишь","010","10","fem","и'дишь"
"жанету","жане'ту","010","10","fem","е'ту"
"беспокойтесь","беспоко'йтесь","0010","10","fem","о'йтесь"
"толстяки","толстяки'","001","1","masc","ки'"
"бала","ба'ла","10","10","fem","а'ла"
"кровожадной","кровожа'дной","0010","10","fem","а'дной"
"отняла","отняла'","001","1","masc","ла'"
"чую","чу'ю","10","10","fem","у'ю"
"решетки","решё'тки","01'0","01'0","other","ё'тки"
"пресвятой","пресвято'й","001","1","masc","о'й"
"паладины","палади'ны","0010","10","fem","и'ны"
"кончался","конча'лся","010","10","fem","а'лся"
"подоспел","подоспе'л","001","1","masc","е'л"
"молился","моли'лся","010","10","fem","и'лся"
"альбион","альбио'н","001","1","masc","о'н"
"дворе","дворе'","01","1","masc","ре'"
"отреша","отреша'","001","1","masc","ша'"
"полог","по'лог","10","10","fem","о'лог"
"непомерной","непоме'рной","0010","10","fem","е'рной"
"почитался","почита'лся","0010","10","fem","а'лся"
"показаться","показа'ться","0010","10","fem","а'ться"
"потянет","потя'нет","010","10","fem","я'нет"
"выправляться","выправля'ться","0010","10","fem","я'ться"
"затейник","зате'йник","010","10","fem","е'йник"
"мура","му'ра","10","10","fem","у'ра"
"добровольно","доброво'льно","0010","10","fem","о'льно"
"статный","ста'тный","10","10","fem","а'тный"
"треволненье","треволне'нье","0010","10","fem","е'нье"
"злостраданья","злострада'нья","0010","10","fem","а'нья"
"колодой","коло'дой","010","10","fem","о'дой"
"забрался","забра'лся","010","10","fem","а'лся"
"сотворено","сотворено'","0001","1","masc","но'"
"украл","укра'л","01","1","masc","а'л"
"угасал","угаса'л","001","1","masc","а'л"
"согрел","согре'л","01","1","masc","е'л"
"коцита","коци'та","010","10","fem","и'та"
"скатясь","скатя'сь","01","1","masc","я'сь"
"разлад","разла'д","01","1","masc","а'д"
"тирренийских","тиррени'йских","0010","10","fem","и'йских"
"облетит","облети'т","001","1","masc","и'т"
"непостоянной","непостоя'нной","00010","10","fem","я'нной"
"ночует","ночу'ет","010","10","fem","у'ет"
"певцам","певца'м","01","1","masc","а'м"
"дворян","дворя'н","01","1","masc","я'н"
"внешних","вне'шних","10","10","fem","е'шних"
"истощена","истощена'","0001","1","masc","на'"
"внешним","вне'шним","10","10","fem","е'шним"
"безумьем","безу'мьем","010","10","fem","у'мьем"
"сильным","си'льным","10","10","fem","и'льным"
"черной","чё'рной","1'0","1'0","other","ё'рной"
"армида","арми'да","010","10","fem","и'да"
"волкана","волка'на","010","10","fem","а'на"
"сотканье","сотка'нье","010","10","fem","а'нье"
"добровольный","доброво'льный","0010","10","fem","о'льный"
"обратит","обрати'т","001","1","masc","и'т"
"водворил","водвори'л","001","1","masc","и'л"
"провиденьем","прови'деньем","0100","100","dactylic","и'деньем"
"устрашала","устраша'ла","0010","10","fem","а'ла"
"учреждал","учрежда'л","001","1","masc","а'л"
"лучезарны","лучеза'рны","0010","10","fem","а'рны"
"полусонный","полусо'нный","0010","10","fem","о'нный"
"неделимых","недели'мых","0010","10","fem","и'мых"
"прижму","прижму'","01","1","masc","му'"
"спрятать","спря'тать","10","10","fem","я'тать"
"индеек","инде'ек","010","10","fem","е'ек"
"купчишка","купчи'шка","010","10","fem","и'шка"
"трески","тре'ски","10","10","fem","е'ски"
"вспеваешь","вспева'ешь","010","10","fem","а'ешь"
"слагала","слага'ла","010","10","fem","а'ла"
"музык","му'зык","10","10","fem","у'зык"
"меропы","меро'пы","010","10","fem","о'пы"
"воздыхал","воздыха'л","001","1","masc","а'л"
"годятся","годя'тся","010","10","fem","я'тся"
"полевых","полевы'х","001","1","masc","ы'х"
"тмином","тми'ном","10","10","fem","и'ном"
"теокрита","теокри'та","0010","10","fem","и'та"
"куст","ку'ст","1","1","masc","у'ст"
"букашки","бука'шки","010","10","fem","а'шки"
"коровки","коро'вки","010","10","fem","о'вки"
"запустели","запусте'ли","0010","10","fem","е'ли"
"стеблях","стебля'х","01","1","masc","я'х"
"хладеет","хладе'ет","010","10","fem","е'ет"
"инезилья","ине'зилья","0100","100","dactylic","е'зилья"
"гитарой","гита'рой","010","10","fem","а'рой"
"разбужу","разбужу'","001","1","masc","жу'"
"привесь","приве'сь","01","1","masc","е'сь"
"открыло","откры'ло","010","10","fem","ы'ло"
"оплоты","опло'ты","010","10","fem","о'ты"
"мостовую","мостову'ю","0010","10","fem","у'ю"
"украшала","украша'ла","0010","10","fem","а'ла"
"наводненье","наводне'нье","0010","10","fem","е'нье"
"дальных","да'льных","10","10","fem","а'льных"
"млат","мла'т","1","1","masc","а'т"
"приобресть","приобре'сть","001","1","masc","е'сть"
"стогны","сто'гны","10","10","fem","о'гны"
"согреты","согре'ты","010","10","fem","е'ты"
"таверна","таве'рна","010","10","fem","е'рна"
"необритый","нео'бритый","0100","100","dactylic","о'бритый"
"усах","уса'х","01","1","masc","а'х"
"кидал","кида'л","01","1","masc","а'л"
"нелепой","неле'пой","010","10","fem","е'пой"
"старухой","стару'хой","010","10","fem","у'хой"
"цапли","ца'пли","10","10","fem","а'пли"
"отклонит","откло'нит","010","10","fem","о'нит"
"навеет","наве'ет","010","10","fem","е'ет"
"появиться","появи'ться","0010","10","fem","и'ться"
"серьгами","серьга'ми","010","10","fem","а'ми"
"избрав","избра'в","01","1","masc","а'в"
"сменялось","сменя'лось","010","10","fem","я'лось"
"поднесь","подне'сь","01","1","masc","е'сь"
"далеком","далё'ком","01'0","01'0","other","ё'ком"
"прикоснутся","прикосну'тся","0010","10","fem","у'тся"
"лелеять","лелея'ть","010","10","fem","я'ть"
"помакать","помака'ть","001","1","masc","а'ть"
"расположенье","располо'женье","00100","100","dactylic","о'женье"
"ленив","лени'в","01","1","masc","и'в"
"воображаю","вообража'ю","00010","10","fem","а'ю"
"разгорячаешь","разгоряча'ешь","00010","10","fem","а'ешь"
"животворится","животвори'тся","00010","10","fem","и'тся"
"токе","то'ке","10","10","fem","о'ке"
"талантов","тала'нтов","010","10","fem","а'нтов"
"поздны","по'здны","10","10","fem","о'здны"
"беспримерный","бесприме'рный","0010","10","fem","е'рный"
"трусь","тру'сь","1","1","masc","у'сь"
"потребя","потребя'","001","1","masc","бя'"
"предстало","предста'ло","010","10","fem","а'ло"
"изобразились","изобрази'лись","00010","10","fem","и'лись"
"порождал","порожда'л","001","1","masc","а'л"
"воздушный","возду'шный","010","10","fem","у'шный"
"сродно","сро'дно","10","10","fem","о'дно"
"вместить","вмести'ть","01","1","masc","и'ть"
"обновленной","обновлё'нной","001'0","001'0","other","ё'нной"
"сокрушая","сокруша'я","0010","10","fem","а'я"
"любимой","люби'мой","010","10","fem","и'мой"
"коловратно","коловра'тно","0010","10","fem","а'тно"
"муравчатым","мура'вчатым","0100","100","dactylic","а'вчатым"
"плескаются","плеска'ются","0100","100","dactylic","а'ются"
"дубравою","дубра'вою","0100","100","dactylic","а'вою"
"древнего","дре'внего","100","100","dactylic","е'внего"
"веселую","весё'лую","01'00","01'00","other","ё'лую"
"цепию","це'пию","100","100","dactylic","е'пию"
"незрящими","незря'щими","0100","100","dactylic","я'щими"
"сопутницу","сопу'тницу","0100","100","dactylic","у'тницу"
"старому","ста'рому","100","100","dactylic","а'рому"
"укоризнами","укори'знами","00100","100","dactylic","и'знами"
"дающая","даю'щая","0100","100","dactylic","ю'щая"
"развилось","развило'сь","001","1","masc","о'сь"
"ниспустились","ниспусти'лись","0010","10","fem","и'лись"
"умягчится","умягчи'тся","0010","10","fem","и'тся"
"лугом","лу'гом","10","10","fem","у'гом"
"остерег","остерё'г","001'","001'","other","ё'г"
"игрушек","игру'шек","010","10","fem","у'шек"
"посланник","посла'нник","010","10","fem","а'нник"
"заимобразный","заимобра'зный","00010","10","fem","а'зный"
"бессмертных","бессме'ртных","010","10","fem","е'ртных"
"отравлял","отравля'л","001","1","masc","я'л"
"громаде","грома'де","010","10","fem","а'де"
"сгрустнется","сгру'стнется","100","100","dactylic","у'стнется"
"испытав","испыта'в","001","1","masc","а'в"
"безлесной","безле'сной","010","10","fem","е'сной"
"многострадальной","многострада'льной","00010","10","fem","а'льной"
"потеет","поте'ет","010","10","fem","е'ет"
"незабавный","незаба'вный","0010","10","fem","а'вный"
"перекорить","перекори'ть","0001","1","masc","и'ть"
"отражай","отража'й","001","1","masc","а'й"
"сознанью","созна'нью","010","10","fem","а'нью"
"смыкал","смыка'л","01","1","masc","а'л"
"обовью","обовью'","001","1","masc","ью'"
"засвечу","засвечу'","001","1","masc","чу'"
"долетит","долети'т","001","1","masc","и'т"
"полночь","по'лночь","10","10","fem","о'лночь"
"предатель","преда'тель","010","10","fem","а'тель"
"прижатых","прижа'тых","010","10","fem","а'тых"
"ненадежной","ненадё'жной","001'0","001'0","other","ё'жной"
"теням","теня'м","01","1","masc","я'м"
"исцеленье","исцеле'нье","0010","10","fem","е'нье"
"искусной","иску'сной","010","10","fem","у'сной"
"увлечена","увлечена'","0001","1","masc","на'"
"терзала","терза'ла","010","10","fem","а'ла"
"условья","усло'вья","010","10","fem","о'вья"
"вербы","ве'рбы","10","10","fem","е'рбы"
"пронзала","пронза'ла","010","10","fem","а'ла"
"укоризне","укори'зне","0010","10","fem","и'зне"
"создано","со'здано","100","100","dactylic","о'здано"
"венчанном","ве'нчанном","100","100","dactylic","е'нчанном"
"трудолюбивый","трудолюби'вый","00010","10","fem","и'вый"
"вперишь","впери'шь","01","1","masc","и'шь"
"провозглашать","провозглаша'ть","0001","1","masc","а'ть"
"потехи","поте'хи","010","10","fem","е'хи"
"успеть","успе'ть","01","1","masc","е'ть"
"достойна","досто'йна","010","10","fem","о'йна"
"накопляет","накопля'ет","0010","10","fem","я'ет"
"изуверы","изуве'ры","0010","10","fem","е'ры"
"уютном","ую'тном","010","10","fem","ю'тном"
"доверялся","доверя'лся","0010","10","fem","я'лся"
"разуменье","разуме'нье","0010","10","fem","е'нье"
"окликнет","окли'кнет","010","10","fem","и'кнет"
"внимало","внима'ло","010","10","fem","а'ло"
"нахала","наха'ла","010","10","fem","а'ла"
"заквасишь","заква'сишь","010","10","fem","а'сишь"
"развевая","развева'я","0010","10","fem","а'я"
"попираешь","попира'ешь","0010","10","fem","а'ешь"
"молотком","молотко'м","001","1","masc","о'м"
"вулкана","вулка'на","010","10","fem","а'на"
"глупость","глу'пость","10","10","fem","у'пость"
"тяготит","тяготи'т","001","1","masc","и'т"
"примиришься","примири'шься","0010","10","fem","и'шься"
"заснешь","заснё'шь","01'","01'","other","ё'шь"
"совершенна","соверше'нна","0010","10","fem","е'нна"
"краснобокий","краснобо'кий","0010","10","fem","о'кий"
"кустам","куста'м","01","1","masc","а'м"
"равниной","равни'ной","010","10","fem","и'ной"
"красной","кра'сной","10","10","fem","а'сной"
"поменяюсь","поменя'юсь","0010","10","fem","я'юсь"
"безнадежно","безнадё'жно","001'0","001'0","other","ё'жно"
"вышел","вы'шел","10","10","fem","ы'шел"
"обратилось","обрати'лось","0010","10","fem","и'лось"
"свирепея","свирепея'","0010","10","fem","ея'"
"клев","кле'в","1","1","masc","е'в"
"неизменней","неизме'нней","0010","10","fem","е'нней"
"шумом","шу'мом","10","10","fem","у'мом"
"пущали","пуща'ли","010","10","fem","а'ли"
"ссор","ссо'р","1","1","masc","о'р"
"карамзина","карамзина'","0001","1","masc","на'"
"эратой","эра'той","010","10","fem","а'той"
"тенистей","тени'стей","010","10","fem","и'стей"
"хороводу","хорово'ду","0010","10","fem","о'ду"
"свистом","сви'стом","10","10","fem","и'стом"
"статного","ста'тного","100","100","dactylic","а'тного"
"ручьях","ручья'х","01","1","masc","я'х"
"изнеможенной","изнеможё'нной","0001'0","0001'0","other","ё'нной"
"темны","темны'","01","1","masc","ны'"
"огражденных","ограждё'нных","001'0","001'0","other","ё'нных"
"одрах","одра'х","01","1","masc","а'х"
"золотистый","золоти'стый","0010","10","fem","и'стый"
"трубами","тру'бами","100","100","dactylic","у'бами"
"пет","пе'т","1","1","masc","е'т"
"медоточивых","медоточи'вых","00010","10","fem","и'вых"
"скропал","скропа'л","01","1","masc","а'л"
"неприятен","неприя'тен","0010","10","fem","я'тен"
"эллеферия","эллефе'рия","00100","100","dactylic","е'рия"
"бражничал","бра'жничал","100","100","dactylic","а'жничал"
"павлиною","павли'ною","0100","100","dactylic","и'ною"
"богатова","бога'това","0100","100","dactylic","а'това"
"посыплется","посы'плется","0100","100","dactylic","ы'плется"
"забавляются","забавля'ются","00100","100","dactylic","я'ются"
"скитаюся","скита'юся","0100","100","dactylic","а'юся"
"мешает","меша'ет","010","10","fem","а'ет"
"роднися","родни'ся","010","10","fem","и'ся"
"кувырком","кувырко'м","001","1","masc","о'м"
"поясню","поясню'","001","1","masc","ню'"
"смущенный","смущё'нный","01'0","01'0","other","ё'нный"
"расточитель","расточи'тель","0010","10","fem","и'тель"
"скоротечных","скороте'чных","0010","10","fem","е'чных"
"ленивым","лени'вым","010","10","fem","и'вым"
"флага","фла'га","10","10","fem","а'га"
"нрзб","нрзб",NA,NA,NA,NA
"взирали","взира'ли","010","10","fem","а'ли"
"упивался","упива'лся","0010","10","fem","а'лся"
"уверя","уве'ря","010","10","fem","е'ря"
"вручаю","вруча'ю","010","10","fem","а'ю"
"кряхтят","кряхтя'т","01","1","masc","я'т"
"съедят","съедя'т","01","1","masc","я'т"
"параличом","параличо'м","0001","1","masc","о'м"
"подагрой","пода'грой","010","10","fem","а'грой"
"мастерица","мастери'ца","0010","10","fem","и'ца"
"растворяла","растворя'ла","0010","10","fem","я'ла"
"правоте","правоте'","001","1","masc","те'"
"сбиралось","сбира'лось","010","10","fem","а'лось"
"подпор","подпо'р","01","1","masc","о'р"
"стеклася","стекла'ся","010","10","fem","а'ся"
"оцепенели","оцепене'ли","00010","10","fem","е'ли"
"папильотки","папильо'тки","0010","10","fem","о'тки"
"росам","ро'сам","10","10","fem","о'сам"
"топот","то'пот","10","10","fem","о'пот"
"строями","строя'ми","010","10","fem","я'ми"
"стрелки","стре'лки","10","10","fem","е'лки"
"киверами","кивера'ми","0010","10","fem","а'ми"
"рукоять","рукоя'ть","001","1","masc","я'ть"
"полетишь","полети'шь","001","1","masc","и'шь"
"остротою","острото'ю","0010","10","fem","о'ю"
"окропим","окропи'м","001","1","masc","и'м"
"гробовую","гробову'ю","0010","10","fem","у'ю"
"сравнял","сравня'л","01","1","masc","я'л"
"обаянны","обая'нны","0010","10","fem","я'нны"
"заалеет","заале'ет","0010","10","fem","е'ет"
"юности","ю'ности","100","100","dactylic","ю'ности"
"резвую","ре'звую","100","100","dactylic","е'звую"
"кажется","ка'жется","100","100","dactylic","а'жется"
"легкие","лё'гкие","1'00","1'00","other","ё'гкие"
"светлого","све'тлого","100","100","dactylic","е'тлого"
"людскою","людско'ю","010","10","fem","о'ю"
"пошевелиться","пошевели'ться","00010","10","fem","и'ться"
"толщина","толщина'","001","1","masc","на'"
"рыдали","рыда'ли","010","10","fem","а'ли"
"опустошенной","опустошё'нной","0001'0","0001'0","other","ё'нной"
"почивали","почива'ли","0010","10","fem","а'ли"
"трактат","тракта'т","01","1","masc","а'т"
"обыкновеньи","обыкнове'ньи","00010","10","fem","е'ньи"
"предубежденье","предубежде'нье","00010","10","fem","е'нье"
"чередою","чередо'ю","0010","10","fem","о'ю"
"потеряй","потеря'й","001","1","masc","я'й"
"бойкой","бо'йкой","10","10","fem","о'йкой"
"ваш","ва'ш","1","1","masc","а'ш"
"падал","па'дал","10","10","fem","а'дал"
"факультет","факульте'т","001","1","masc","е'т"
"скоро","ско'ро","10","10","fem","о'ро"
"брадатый","брада'тый","010","10","fem","а'тый"
"вчерашню","вчера'шню","010","10","fem","а'шню"
"пророков","проро'ков","010","10","fem","о'ков"
"предписал","предписа'л","001","1","masc","а'л"
"прибывало","прибыва'ло","0010","10","fem","а'ло"
"родить","роди'ть","01","1","masc","и'ть"
"бедняе","бе'дняе","100","100","dactylic","е'дняе"
"дошел","дошё'л","01'","01'","other","ё'л"
"помирая","помира'я","0010","10","fem","а'я"
"дошли","дошли'","01","1","masc","ли'"
"урожала","урожа'ла","0010","10","fem","а'ла"
"прославляем","прославля'ем","0010","10","fem","я'ем"
